Code ,BirdID
253,VV/MV
332,CC/CM
730,XX/MX
548,WW/WM
581,MD/DD
623,EE/EM
698,LL/ML
324,CN/MC
719,EE/ME
594,DD/MD
714,CC/MC
527,SS/MS
395,M/W
