BirdID,Cohort,Sex
253,2010,1
332,2012,1
730,2014,1
548,2013,1
581,2013,1
623,2014,1
698,2014,1
324,2012,0
719,2014,0
594,2013,0
714,2014,0
527,2013,0
395,2013,0
