Code ,BirdID
CC/MC,260
OO/MO,378
SS/MS,540
DW/MH,546
PP/MP,608
EE/EM,630
RR/MB,653
DD/DM,703
PP/MP,325
CC/MC,503
OO/OM,536
SS/MS,603
DC/MC,649
EE/ME,652
YV/YM,716
