BirdID,Transponder,Code 
260,0007839551,260
378,000783A7E6,378
540,0007AC90B2,540
546,000783DBAA,546
608,0007AC208D,608
630,000783DDDC,630
653,000783CB20,653
703,0007ACD485,703
325,0007AFDD41,325
503,0007B0EE2D,503
536,000783CF1A,536
603,0007B0F9B9,603
649,000783D5F0,649
652,00078395C8,652
716,0007ACDA5A,716
