Code ,BirdID
678,RR/MR
575,EE/ME
278,NN/MN
254,VV/MV
541,MH/HH
562,MC/CC
649,DC/MC
268,BB/MB
631,OO/MO
266,CC/MC
573,MY/YY
293,VV/VM
331,NN/MN
347,OO/OM
599,PP/MP
596,MD/DD
598,BM/BB
660,LL/ML
589,MW/WW
604,HH/MH
