BirdID,Transponder,Code 
678,000783EF84,678
575,0007839C52,575
278,0007ACD237,278
254,00078397BE,254
541,0007AC6326,541
562,0007839D45,562
649,000783D5F0,649
268,0007AFDEF4,268
631,000783A3D1,631
266,0007B0FC21,266
573,0007ACDC1C,573
293,0007ABAE1D,293
331,0007ACC7F7,331
347,0007ACC752,347
599,000783B3B0,599
596,0007AFE407,596
598,000783D215,598
660,0007ACZAE0,660
589,0007ACE29F,589
604,000783C23D,604
