Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
2292;06-02-2019;08:26:30;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2293;06-02-2019;08:26:31;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2294;06-02-2019;08:26:32;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2295;06-02-2019;08:26:32;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2296;06-02-2019;08:26:33;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2297;06-02-2019;08:26:34;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2298;06-02-2019;08:26:35;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2299;06-02-2019;08:26:35;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2300;06-02-2019;08:26:36;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2301;06-02-2019;08:26:37;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2302;06-02-2019;08:26:37;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2303;06-02-2019;08:26:39;30;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2304;06-02-2019;08:26:40;30;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2305;06-02-2019;08:27:17;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2306;06-02-2019;08:27:21;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2307;06-02-2019;08:27:21;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2308;06-02-2019;08:27:22;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2309;06-02-2019;08:27:23;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2310;06-02-2019;08:27:24;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2311;06-02-2019;08:27:25;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2312;06-02-2019;08:27:55;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2313;06-02-2019;08:29:00;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2314;06-02-2019;08:29:01;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2315;06-02-2019;08:29:02;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2316;06-02-2019;08:29:04;10;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
2317;06-02-2019;08:30:38;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2318;06-02-2019;08:30:38;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2319;06-02-2019;08:30:38;30;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2320;06-02-2019;08:30:38;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2321;06-02-2019;08:30:39;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2322;06-02-2019;08:30:39;30;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2323;06-02-2019;08:30:40;30;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2324;06-02-2019;08:30:41;30;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2325;06-02-2019;08:30:41;30;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2326;06-02-2019;08:30:42;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2327;06-02-2019;08:30:43;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2328;06-02-2019;08:30:44;40;-;Trovan Unique;0007ACC752;-;00000000;00000000;-;""
2329;06-02-2019;08:31:11;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2330;06-02-2019;08:31:11;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2331;06-02-2019;08:31:12;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2332;06-02-2019;08:31:14;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2333;06-02-2019;08:31:22;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2334;06-02-2019;08:31:23;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2335;06-02-2019;08:31:23;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2336;06-02-2019;08:31:34;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2337;06-02-2019;08:31:38;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2338;06-02-2019;08:31:41;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2339;06-02-2019;08:31:50;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2340;06-02-2019;08:31:53;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2341;06-02-2019;08:31:54;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2342;06-02-2019;08:32:01;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2343;06-02-2019;08:34:25;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2344;06-02-2019;08:34:26;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2345;06-02-2019;08:34:26;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2346;06-02-2019;08:34:28;30;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2347;06-02-2019;08:36:06;30;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2348;06-02-2019;08:36:07;30;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2349;06-02-2019;08:36:07;30;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2350;06-02-2019;08:36:08;30;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2351;06-02-2019;08:36:09;30;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2352;06-02-2019;08:36:09;30;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2353;06-02-2019;08:36:12;40;-;Trovan Unique;0007ACD237;-;00000000;00000000;-;""
2354;06-02-2019;08:38:17;40;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2355;06-02-2019;08:38:18;40;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2356;06-02-2019;08:38:18;40;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2357;06-02-2019;08:38:19;40;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2358;06-02-2019;08:38:21;30;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2359;06-02-2019;08:39:01;30;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2360;06-02-2019;08:39:02;30;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2361;06-02-2019;08:39:02;30;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2362;06-02-2019;08:39:02;30;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2363;06-02-2019;08:39:04;40;-;Trovan Unique;0007AC6326;-;00000000;00000000;-;""
2364;06-02-2019;08:53:44;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2365;06-02-2019;08:53:44;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2366;06-02-2019;08:53:45;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2367;06-02-2019;08:54:33;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2368;06-02-2019;08:54:33;20;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2369;06-02-2019;08:54:34;10;-;Trovan Unique;000783B3B0;-;00000000;00000000;-;""
2370;06-02-2019;08:54:42;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2371;06-02-2019;08:54:42;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2372;06-02-2019;08:54:43;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2373;06-02-2019;08:54:43;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2374;06-02-2019;08:54:44;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2375;06-02-2019;08:54:57;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2376;06-02-2019;08:54:58;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2377;06-02-2019;08:54:59;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2378;06-02-2019;08:55:41;10;-;Trovan Unique;0007AFE407;-;00000000;00000000;-;""
2379;06-02-2019;08:56:15;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2380;06-02-2019;08:56:16;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
2381;06-02-2019;08:58:11;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2382;06-02-2019;08:58:12;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2383;06-02-2019;08:58:12;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2384;06-02-2019;08:58:13;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2385;06-02-2019;08:58:14;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2386;06-02-2019;08:58:14;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2387;06-02-2019;08:58:15;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2388;06-02-2019;08:58:16;40;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2389;06-02-2019;08:58:18;30;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2390;06-02-2019;08:59:38;30;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
2391;06-02-2019;08:59:39;30;-;Trovan Unique;00078397BE;-;00000000;00000000;-;""
