Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
12807;10-02-2019;08:23:58;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12808;10-02-2019;08:23:59;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12809;10-02-2019;08:23:59;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12810;10-02-2019;08:24:01;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12811;10-02-2019;08:24:12;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12812;10-02-2019;08:24:13;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12813;10-02-2019;08:24:14;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12814;10-02-2019;08:24:14;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12815;10-02-2019;08:24:15;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12816;10-02-2019;08:24:16;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12817;10-02-2019;08:24:17;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12818;10-02-2019;08:24:17;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12819;10-02-2019;08:24:36;40;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
12820;10-02-2019;08:24:36;40;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
12821;10-02-2019;08:24:38;30;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
12822;10-02-2019;08:25:19;10;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
12823;10-02-2019;08:25:32;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12824;10-02-2019;08:25:33;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12825;10-02-2019;08:25:34;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12826;10-02-2019;08:25:34;30;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
12827;10-02-2019;08:25:35;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
12828;10-02-2019;08:25:36;30;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
12829;10-02-2019;08:25:36;30;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
12830;10-02-2019;08:25:36;40;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
