Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
7489;08-02-2019;08:26:02;10;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7490;08-02-2019;08:26:02;10;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7491;08-02-2019;08:26:03;10;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7492;08-02-2019;08:26:03;10;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7493;08-02-2019;08:26:54;40;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7494;08-02-2019;08:26:55;40;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7495;08-02-2019;08:26:56;40;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7496;08-02-2019;08:26:56;40;-;Trovan Unique;000783D5F0;-;00000000;00000000;-;""
7497;08-02-2019;08:27:30;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7498;08-02-2019;08:27:31;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7499;08-02-2019;08:31:41;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7500;08-02-2019;08:31:55;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7501;08-02-2019;08:31:56;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7502;08-02-2019;08:31:57;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7503;08-02-2019;08:31:57;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7504;08-02-2019;08:31:58;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7505;08-02-2019;08:31:59;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7506;08-02-2019;08:31:59;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7507;08-02-2019;08:32:00;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7508;08-02-2019;08:32:01;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7509;08-02-2019;08:32:02;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7510;08-02-2019;08:32:02;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7511;08-02-2019;08:32:03;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7512;08-02-2019;08:32:04;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7513;08-02-2019;08:32:04;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7514;08-02-2019;08:32:05;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7515;08-02-2019;08:32:06;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7516;08-02-2019;08:32:06;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7517;08-02-2019;08:32:07;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7518;08-02-2019;08:32:08;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7519;08-02-2019;08:32:20;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
7520;08-02-2019;08:32:21;40;-;Trovan Unique;0007AFDEF4;-;00000000;00000000;-;""
