Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
19914;11-02-2019;08:17:48;40;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19915;11-02-2019;08:17:53;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
19916;11-02-2019;08:17:54;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
19917;11-02-2019;08:17:55;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
19918;11-02-2019;08:18:08;40;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
19919;11-02-2019;08:18:10;40;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
19920;11-02-2019;08:18:10;40;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
19921;11-02-2019;08:18:11;30;-;Trovan Unique;0007ACE29F;-;00000000;00000000;-;""
19922;11-02-2019;08:18:51;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19923;11-02-2019;08:18:51;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19924;11-02-2019;08:18:52;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19925;11-02-2019;08:18:52;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19926;11-02-2019;08:18:52;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19927;11-02-2019;08:18:53;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19928;11-02-2019;08:18:53;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19929;11-02-2019;08:18:53;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19930;11-02-2019;08:18:53;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19931;11-02-2019;08:18:54;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19932;11-02-2019;08:18:54;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19933;11-02-2019;08:18:55;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
19934;11-02-2019;08:18:56;10;-;Trovan Unique;0007ABAE1D;-;00000000;00000000;-;""
