Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
2876;17-11-2018;07:03:33;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2877;17-11-2018;07:03:34;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2878;17-11-2018;07:03:34;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2879;17-11-2018;07:03:34;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2880;17-11-2018;07:03:37;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2881;17-11-2018;07:03:37;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2882;17-11-2018;07:03:38;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2883;17-11-2018;07:03:39;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2884;17-11-2018;07:03:40;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2885;17-11-2018;07:05:06;10;-;Trovan Unique;0007B0F1CE;-;00000000;00000000;-;""
2886;17-11-2018;07:05:32;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2887;17-11-2018;07:05:33;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2888;17-11-2018;07:05:34;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2889;17-11-2018;07:05:34;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2890;17-11-2018;07:05:34;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2891;17-11-2018;07:05:34;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2892;17-11-2018;07:05:35;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2893;17-11-2018;07:05:36;20;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2894;17-11-2018;07:05:37;20;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2895;17-11-2018;07:05:40;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2896;17-11-2018;07:05:40;30;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2897;17-11-2018;07:05:42;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2898;17-11-2018;07:05:43;40;-;Trovan Unique;000783A448;-;00000000;00000000;-;""
2899;17-11-2018;07:05:56;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2900;17-11-2018;07:05:56;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2901;17-11-2018;07:05:57;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2902;17-11-2018;07:05:57;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2903;17-11-2018;07:05:57;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2904;17-11-2018;07:05:57;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2905;17-11-2018;07:05:58;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2906;17-11-2018;07:05:58;10;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2907;17-11-2018;07:05:59;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2908;17-11-2018;07:05:59;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2909;17-11-2018;07:06:33;30;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2910;17-11-2018;07:06:37;30;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2911;17-11-2018;07:06:37;30;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2912;17-11-2018;07:06:37;30;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2913;17-11-2018;07:06:39;40;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
2914;17-11-2018;07:07:29;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2915;17-11-2018;07:07:29;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2916;17-11-2018;07:07:30;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2917;17-11-2018;07:07:30;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
2918;17-11-2018;07:07:31;20;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
