Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
3986;19-11-2018;07:16:36;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3987;19-11-2018;07:16:37;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3988;19-11-2018;07:16:38;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3989;19-11-2018;07:16:39;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3990;19-11-2018;07:16:39;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3991;19-11-2018;07:16:39;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3992;19-11-2018;07:16:39;10;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3993;19-11-2018;07:16:41;20;-;Trovan Unique;0007B0493E;-;00000000;00000000;-;""
3994;19-11-2018;07:17:11;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
3995;19-11-2018;07:17:12;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
3996;19-11-2018;07:17:18;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
3997;19-11-2018;07:17:19;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
3998;19-11-2018;07:17:20;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
3999;19-11-2018;07:17:20;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4000;19-11-2018;07:17:21;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4001;19-11-2018;07:17:22;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4002;19-11-2018;07:17:22;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4003;19-11-2018;07:17:23;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4004;19-11-2018;07:17:38;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4005;19-11-2018;07:17:39;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4006;19-11-2018;07:17:39;40;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4007;19-11-2018;07:17:40;30;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
4008;19-11-2018;07:17:41;30;-;Trovan Unique;00078394D9;-;00000000;00000000;-;""
