Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1;13-11-2018;12:08:03;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
2;13-11-2018;12:08:05;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
3;13-11-2018;12:08:09;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
4;13-11-2018;12:08:10;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
5;13-11-2018;12:08:12;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
6;13-11-2018;12:08:13;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
7;13-11-2018;12:08:14;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
8;13-11-2018;12:08:15;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
9;13-11-2018;12:08:16;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
10;13-11-2018;12:08:19;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
11;13-11-2018;12:08:21;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
12;13-11-2018;12:08:22;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
13;13-11-2018;12:08:25;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
14;13-11-2018;12:08:25;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
15;13-11-2018;12:08:25;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
16;13-11-2018;12:08:27;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
17;13-11-2018;12:08:27;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
18;13-11-2018;12:08:29;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
19;13-11-2018;12:08:29;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
20;13-11-2018;12:08:30;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
21;13-11-2018;12:08:32;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
22;13-11-2018;12:08:32;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
23;13-11-2018;12:08:33;30;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
24;13-11-2018;12:08:34;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
25;13-11-2018;12:08:35;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
26;13-11-2018;12:08:36;40;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
27;13-11-2018;12:08:41;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
28;13-11-2018;12:08:41;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
29;13-11-2018;12:08:41;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
30;13-11-2018;12:08:49;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
31;13-11-2018;12:08:50;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
32;13-11-2018;12:08:50;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
33;13-11-2018;12:08:52;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
34;13-11-2018;12:08:53;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
35;13-11-2018;12:08:53;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
36;13-11-2018;12:08:54;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
37;13-11-2018;12:08:54;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
38;13-11-2018;12:08:55;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
39;13-11-2018;12:08:55;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
40;13-11-2018;12:08:55;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
41;13-11-2018;12:08:57;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
42;13-11-2018;12:08:59;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
43;13-11-2018;12:08:59;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
44;13-11-2018;12:09:00;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
45;13-11-2018;12:09:00;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
46;13-11-2018;12:09:01;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
47;13-11-2018;12:09:02;20;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
48;13-11-2018;12:09:02;10;-;Trovan Unique;0007AC5B0C;-;00000000;00000000;-;""
1;13-11-2018;14:55:33;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
2;13-11-2018;14:55:33;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
3;13-11-2018;14:55:33;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
4;13-11-2018;14:55:33;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
5;13-11-2018;14:55:34;10;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
6;13-11-2018;14:55:35;20;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
7;13-11-2018;14:56:16;30;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
8;13-11-2018;14:56:17;30;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
9;13-11-2018;14:56:17;40;-;Trovan Unique;0007ACD192;-;00000000;00000000;-;""
10;13-11-2018;15:01:12;40;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
11;13-11-2018;15:01:13;40;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
12;13-11-2018;15:01:13;40;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
13;13-11-2018;15:01:15;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
14;13-11-2018;15:01:58;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
15;13-11-2018;15:01:58;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
16;13-11-2018;15:01:59;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
17;13-11-2018;15:02:00;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
18;13-11-2018;15:02:01;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
19;13-11-2018;15:02:02;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
20;13-11-2018;15:02:03;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
21;13-11-2018;15:02:03;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
22;13-11-2018;15:02:04;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
23;13-11-2018;15:02:05;30;-;Trovan Unique;00079D5182;-;00000000;00000000;-;""
