BirdID,Cohort,Sex
712,2014,1
609,2014,1
250,2010,1
718,2014,1
617,2014,1
694,2014,1
655,2014,1
317,2012,0
650,2014,0
346,2012,0
528,2013,0
682,2014,0
320,2012,0
625,2014,0
,,
