Code ,BirdID
712,OO/MO
609,BB/MB
250,NN/MN
718,HH/MH
617,DD/MD
694,CC/CM
655,XX/MX
317,SS/MS
650,X/MP
346,RR/RM
528,BB/M
682,ME/PL
320,BB/MB
625,HH/MH
