BirdID,Transponder,Code 
395,0007AC388E,395
527,0007ACE488,527
578,0007B04A67,578
598,000783D215,598
604,000783C23D,604
635,0007ABB40D,635
660,0007ACZAE0,660
727,0007AB9F6A,727
513,0007ACD2C0,513
544,0007ACE17C,544
562,0007839D45,562
572,0007B117A4,572
585,0007AC6CE4,585
641,0007AC276E,641
655,0007AC92A2,655
706,0007AFDFC5,706
709,0007AC2B4F,709
711,0007ABEE50,711
