BirdID,Transponder,Code 
346,00783C04D,346
528,0007ACD192,528
570,0007B0187E,570
573,0007ACDC1C,573
583,0007AC8F78,583
656,0007ACDAC3,656
682,00078394D9,682
683,0007ABB45D,683
707,0007B0C904,707
719,000783A448,719
253,00079D5182,253
389,0007ACD92B,389
396,0007AC6075,396
566,0007B0F1CE,566
659,0007ABD4C1,659
712,0007B0493E,712
672,0007ACB5E0,672
680,0007ABB9A6,680
