Code ,BirdID
RR/RM,346
BB/M,528
BB/BM,570
MY/YY,573
OO/MO,583
VV/MV,656
ME/PL,682
BB/GM,683
CM/NN,707
EE/ME,719
VV/MV,253
BM/BB,389
YM/YY,396
MH/HH,566
WW/WM,659
GG/MG,712
M,672
M,680
