BirdID,Cohort,Sex,Death Status 
346,2012,0,
528,2013,0,
570,2013,0,
573,2014,0,
583,2014,0,
656,2014,0,
682,2014,0,
683,2014,0,
707,2014,0,
719,2014,0,
253,2010,1,
389,2013,1,
396,2013,1,
566,2013,1,
659,2014,1,
712,2014,1,
672,2018,1,
680,2018,1,
