Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1871;19-02-2019;08:13:18;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1872;19-02-2019;08:13:19;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1873;19-02-2019;08:13:20;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1874;19-02-2019;08:13:19;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1875;19-02-2019;08:13:20;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1876;19-02-2019;08:13:21;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1877;19-02-2019;08:13:22;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1878;19-02-2019;08:14:33;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1879;19-02-2019;08:14:33;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1880;19-02-2019;08:14:34;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1881;19-02-2019;08:14:35;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1882;19-02-2019;08:14:36;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1883;19-02-2019;08:26:48;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1884;19-02-2019;08:26:48;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1885;19-02-2019;08:26:48;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1886;19-02-2019;08:26:48;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1887;19-02-2019;08:26:49;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1888;19-02-2019;08:26:49;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1889;19-02-2019;08:26:50;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1890;19-02-2019;08:26:51;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1891;19-02-2019;08:26:52;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1892;19-02-2019;08:28:35;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1893;19-02-2019;08:28:36;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1894;19-02-2019;08:28:36;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1895;19-02-2019;08:28:43;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1896;19-02-2019;08:28:44;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1897;19-02-2019;08:28:45;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1898;19-02-2019;08:28:45;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1899;19-02-2019;08:36:21;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1900;19-02-2019;08:36:22;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1901;19-02-2019;08:36:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1902;19-02-2019;08:36:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1903;19-02-2019;08:36:22;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1904;19-02-2019;08:36:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1905;19-02-2019;08:36:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1906;19-02-2019;08:36:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1907;19-02-2019;08:36:24;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1908;19-02-2019;08:36:28;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1909;19-02-2019;08:36:29;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1910;19-02-2019;08:36:30;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1911;19-02-2019;08:36:30;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1912;19-02-2019;08:36:30;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1913;19-02-2019;08:36:31;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1914;19-02-2019;08:36:32;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1915;19-02-2019;08:38:54;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1916;19-02-2019;08:38:55;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1917;19-02-2019;08:38:55;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1918;19-02-2019;08:43:56;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1919;19-02-2019;08:43:57;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1920;19-02-2019;08:43:58;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1921;19-02-2019;08:43:58;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1922;19-02-2019;08:43:57;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1923;19-02-2019;08:43:59;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1924;19-02-2019;08:45:16;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1925;19-02-2019;08:45:16;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1926;19-02-2019;08:45:16;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1927;19-02-2019;08:45:17;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1928;19-02-2019;08:45:18;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1929;19-02-2019;08:47:32;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1930;19-02-2019;08:47:32;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1931;19-02-2019;08:47:32;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1932;19-02-2019;08:47:33;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1933;19-02-2019;08:47:33;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1934;19-02-2019;08:47:34;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1935;19-02-2019;08:47:54;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1936;19-02-2019;08:47:54;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1937;19-02-2019;08:47:54;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1938;19-02-2019;08:47:54;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1939;19-02-2019;08:47:55;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1940;19-02-2019;08:47:56;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1941;19-02-2019;08:50:17;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1942;19-02-2019;08:50:18;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1943;19-02-2019;08:50:18;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1944;19-02-2019;08:50:19;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1945;19-02-2019;08:50:19;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1946;19-02-2019;08:50:20;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1947;19-02-2019;08:52:26;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1948;19-02-2019;08:52:27;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1949;19-02-2019;08:56:42;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1950;19-02-2019;08:56:43;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1951;19-02-2019;08:56:44;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1952;19-02-2019;08:56:43;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1953;19-02-2019;08:56:45;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1954;19-02-2019;08:56:45;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1955;19-02-2019;08:57:45;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1956;19-02-2019;08:57:46;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1957;19-02-2019;08:57:47;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1958;19-02-2019;08:57:47;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
