Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1176;17-02-2019;09:23:30;40;-;Trovan Unique;0007B01CE3;-;00000000;00000000;-;""
1177;17-02-2019;09:41:04;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1178;17-02-2019;09:41:04;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1179;17-02-2019;09:42:34;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1180;17-02-2019;09:42:34;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1181;17-02-2019;09:42:36;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1182;17-02-2019;09:43:32;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1183;17-02-2019;09:43:33;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1184;17-02-2019;09:43:33;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1185;17-02-2019;09:47:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1186;17-02-2019;09:47:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1187;17-02-2019;09:47:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1188;17-02-2019;09:47:23;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1189;17-02-2019;09:47:25;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1190;17-02-2019;09:47:26;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1191;17-02-2019;09:47:40;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1192;17-02-2019;09:47:40;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1193;17-02-2019;09:47:41;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1194;17-02-2019;09:47:43;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1195;17-02-2019;09:47:44;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1196;17-02-2019;09:47:44;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1197;17-02-2019;09:48:18;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1198;17-02-2019;09:48:19;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1199;17-02-2019;09:48:21;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1200;17-02-2019;09:51:03;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1201;17-02-2019;09:51:05;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1202;17-02-2019;09:51:06;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1203;17-02-2019;09:51:07;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1204;17-02-2019;09:56:48;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1205;17-02-2019;09:56:51;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1206;17-02-2019;09:56:51;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1207;17-02-2019;09:56:53;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1208;17-02-2019;09:57:57;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1209;17-02-2019;09:57:57;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1210;17-02-2019;09:57:58;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1211;17-02-2019;10:12:21;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1212;17-02-2019;10:12:22;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1213;17-02-2019;10:12:22;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1214;17-02-2019;10:12:57;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1215;17-02-2019;10:12:58;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1216;17-02-2019;10:57:33;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1217;17-02-2019;10:57:33;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1218;17-02-2019;10:57:35;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1219;17-02-2019;10:58:02;40;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1220;17-02-2019;10:58:07;30;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1221;17-02-2019;10:58:09;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1222;17-02-2019;10:58:09;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1223;17-02-2019;10:58:10;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1224;17-02-2019;10:58:14;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1225;17-02-2019;10:58:14;20;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1226;17-02-2019;10:58:15;10;-;Trovan Unique;0007AC3EDE;-;00000000;00000000;-;""
1227;17-02-2019;11:09:00;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1228;17-02-2019;11:09:01;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1229;17-02-2019;11:21:25;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1230;17-02-2019;11:21:26;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1231;17-02-2019;11:21:27;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1232;17-02-2019;11:21:27;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1233;17-02-2019;11:21:29;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1234;17-02-2019;11:22:01;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1235;17-02-2019;11:22:02;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1236;17-02-2019;11:22:02;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1237;17-02-2019;11:27:59;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1238;17-02-2019;11:27:59;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1239;17-02-2019;11:28:00;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1240;17-02-2019;11:28:00;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1241;17-02-2019;11:28:01;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1242;17-02-2019;11:28:01;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1243;17-02-2019;11:28:19;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1244;17-02-2019;11:28:19;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1245;17-02-2019;11:28:20;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1246;17-02-2019;12:00:45;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1247;17-02-2019;12:00:46;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1248;17-02-2019;12:00:48;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1249;17-02-2019;12:00:48;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1250;17-02-2019;12:00:48;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1251;17-02-2019;12:00:49;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1252;17-02-2019;12:02:10;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1253;17-02-2019;12:02:11;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1254;17-02-2019;12:02:12;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1255;17-02-2019;12:02:12;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1256;17-02-2019;12:03:31;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1257;17-02-2019;12:03:32;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1258;17-02-2019;12:03:33;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1259;17-02-2019;12:03:57;20;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1260;17-02-2019;12:03:58;10;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1261;17-02-2019;12:12:57;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1262;17-02-2019;12:12:58;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1263;17-02-2019;12:12:59;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1264;17-02-2019;12:13:06;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1265;17-02-2019;12:13:07;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1266;17-02-2019;12:13:07;30;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1267;17-02-2019;12:13:08;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1268;17-02-2019;12:23:20;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
1269;17-02-2019;12:23:21;40;-;Trovan Unique;0007AC60AD;-;00000000;00000000;-;""
