Code ,BirdID
BB/MB,320
CM/CC,384
EM/EE,398
MV/VV,510
OO/MO,532
MS/SS,556
MD/DD,596
PP/MP,599
HH/MH,625
XX/XM,647
MY/YY,717
CC/CM,723
MS/SS,393
MO/OO,516
MH/HH,541
WW/WM,548
RR/RM,616
EE/EM,623
CN/MX,687
CC/CM,694
LL/ML,698
MD/DD,581
M,2
