BirdID,Cohort,Sex
293,2010,0
331,2012,0
394,2013,0
524,2013,0
571,2014,0
586,2014,0
589,2013,0
594,2013,0
600,2013,0
658,2014,0
254,2010,1
255,2010,1
278,2010,1
284,2010,1
505,2013,1
549,2013,1
642,2014,1
718,2014,1
730,2014,1
