Code ,BirdID
VV/VM,293
NN/MN,331
CC/MC,394
MX/XX,524
MY/YY,571
R/M,586
MW/WW,589
GM/GG,594
PM/PP,600
OO/MO,658
VV/MV,254
WW/MW,255
NN/MN,278
DD/MD,284
MO/OO,505
MC/CC,549
M,642
HH/MH,718
XX/MX,730
