Code ,BirdID
OO/OM,347
HH/MH,490
ME/EE,517
MW/WW,584
XX/MX,691
CC/MC,714
RR/MR,258
BB/MB,268
NN/MN,298
VM/VV,519
DD/MD,617
CC/MC,628
OO/MO,631
WW/MW,665
EE/ME,699
