BirdID,Cohort,Sex
347,2012,0
490,2007,0
517,2013,0
584,2013,0
691,2014,0
714,2014,0
258,2010,1
268,2010,1
298,2010,1
519,2013,1
617,2014,1
628,2014,1
631,2014,1
665,2014,1
699,2014,1
