Code ,BirdID
WW/WM,659
MC/CC,549
PP/MP,642
VM/VV,519
WW/MW,255
EE/ME,652
EE/ME,334
LW/MC,605
ER/MB,629
SS/MY,633
WP/PM,654
CC/MC,394
OO/MO,658
RR/MR,635
PP/MP,608
