Code ,BirdID
CC/MC,266
SS/MS,317
RV/MR,322
CN/MC,324
EE/ME,334
RC/MR,342
CC/MW,381
DV/MD,383
MC/NP,501
SR/DM,506
ME/CE,508
LW/MC,605
ER/MB,629
SS/MY,633
PD/MX,640
YH/MY,645
X/MP,650
WP/PM,654
YC/MC,692
LP/MP,728
M,678
