Code ,BirdID
389,BM/BB
396,YM/YY
284,DD/MD
258,RR/MR
298,NN/MN
393,MS/SS
322,RV/MR
656,VV/MV
263,PP/MP
502,RR/MR
490,HH/MH
384,CM/CC
398,EM/EE
647,XX/XM
378,OO/MO
