BirdID,Transponder,Code 
389,0007ACD92B,389
396,0007ACD040,396
284,0007AC9993,284
258,0007B0C85F,258
298,0007ABAEC7,298
393,0007AC4FB1,393
322,0007ACC242,322
656,0007ACDAC3,656
263,0007B0C62E,263
502,0007B019EF,502
490,00079D5009,490
384,00079D5186,384
398,000783C204,398
647,0007AFE48F,647
378,000783A7E6,378
