BirdID,Cohort,Sex
263,2010,0
502,2013,0
537,2013,0
611,2014,0
613,2014,0
639,2014,0
720,2014,0
250,2010,1
275,2010,1
332,2012,1
507,2013,1
520,2013,1
575,2013,1
609,2014,1
666,2017,1
