Code ,BirdID
PP/MP,263
RR/MR,502
BB/MB,537
00/MO,611
EE/ME,613
GG/GM,639
CC/MC,720
NN/MN,250
WW/MW,275
CC/CM,332
MG/GG,507
MH/HH,520
EE/ME,575
BB/MB,609
RR/MR,666
