Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
3602;06-01-2019;08:59:50;10;-;Trovan Unique;0007ACB9B7;-;00000000;00000000;-;""
3603;06-01-2019;08:59:50;10;-;Trovan Unique;0007ACB9B7;-;00000000;00000000;-;""
3604;06-01-2019;09:01:42;10;-;Trovan Unique;0007ACB9B7;-;00000000;00000000;-;""
3605;06-01-2019;09:01:42;10;-;Trovan Unique;0007ACB9B7;-;00000000;00000000;-;""
3606;06-01-2019;09:01:42;10;-;Trovan Unique;0007ACB9B7;-;00000000;00000000;-;""
3607;06-01-2019;09:01:43;10;-;Trovan Unique;0007ACB9B7;-;00000000;00000000;-;""
3608;06-01-2019;09:04:22;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
3609;06-01-2019;09:04:23;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
3610;06-01-2019;09:04:23;10;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
3611;06-01-2019;09:04:24;20;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
3612;06-01-2019;09:06:51;30;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
3613;06-01-2019;09:06:52;40;-;Trovan Unique;000783EF84;-;00000000;00000000;-;""
3614;06-01-2019;09:19:33;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3615;06-01-2019;09:19:33;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3616;06-01-2019;09:19:33;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3617;06-01-2019;09:19:34;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3618;06-01-2019;09:19:34;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3619;06-01-2019;09:19:34;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3620;06-01-2019;09:19:34;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3621;06-01-2019;09:19:35;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3622;06-01-2019;09:19:35;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3623;06-01-2019;09:19:35;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3624;06-01-2019;09:19:36;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3625;06-01-2019;09:19:36;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3626;06-01-2019;09:19:36;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3627;06-01-2019;09:19:36;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3628;06-01-2019;09:19:37;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3629;06-01-2019;09:19:37;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3630;06-01-2019;09:20:41;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3631;06-01-2019;09:20:41;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3632;06-01-2019;09:20:42;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3633;06-01-2019;09:20:42;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3634;06-01-2019;09:20:42;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3635;06-01-2019;09:20:42;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3636;06-01-2019;09:20:43;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3637;06-01-2019;09:20:43;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3638;06-01-2019;09:20:43;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3639;06-01-2019;09:20:44;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3640;06-01-2019;09:20:44;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3641;06-01-2019;09:20:44;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3642;06-01-2019;09:20:46;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3643;06-01-2019;09:22:29;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3644;06-01-2019;09:22:30;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3645;06-01-2019;09:22:32;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3646;06-01-2019;09:22:33;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3647;06-01-2019;09:22:34;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3648;06-01-2019;09:22:34;20;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3649;06-01-2019;09:22:34;10;-;Trovan Unique;000783C25E;-;00000000;00000000;-;""
3650;06-01-2019;09:23:03;10;-;Trovan Unique;0007AFE135;-;00000000;00000000;-;""
3651;06-01-2019;09:34:51;40;-;Trovan Unique;0007B0F2B3;-;00000000;00000000;-;""
3652;06-01-2019;09:36:58;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3653;06-01-2019;09:36:58;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3654;06-01-2019;09:36:58;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3655;06-01-2019;09:36:59;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3656;06-01-2019;09:36:59;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3657;06-01-2019;09:36:59;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3658;06-01-2019;09:37:00;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3659;06-01-2019;09:37:00;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3660;06-01-2019;09:37:00;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3661;06-01-2019;09:37:00;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3662;06-01-2019;09:37:01;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3663;06-01-2019;09:37:01;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3664;06-01-2019;09:37:01;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3665;06-01-2019;09:37:02;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3666;06-01-2019;09:37:02;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3667;06-01-2019;09:37:02;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3668;06-01-2019;09:37:02;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3669;06-01-2019;09:37:03;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3670;06-01-2019;09:37:03;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
3671;06-01-2019;09:37:03;10;-;Trovan Unique;0007AC5F96;-;00000000;00000000;-;""
